Area,Total,Income_Class
Donholm,76838.0065681445,Middle
Embakasi,59559.292929292926,Middle
Githurai,34393.532526475035,Low
Juja,41348.83574879227,Low
Karen,238099.47980613893,High
Kasarani,50899.1119515885,Low
Kikuyu,50964.18760195759,Low
Kileleshwa,142338.45950413222,High
Kitengela,59942.8126984127,Middle
Langata,110996.67086614174,High
Mlolongo,46723.12537313433,Low
Ngong,76484.21495327103,Middle
Rongai,68157.24300441827,Middle
Ruaka,95983.75121163166,High
Ruiru,50825.01284109149,Low
South B,86161.33548387096,High
Thika,51127.58937198068,Low
Umoja,59611.14126984127,Middle
Westlands,160900.20061728396,High
