stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0001RLW,799,5590,27759
0002KOJ,757,5161,23044
0003NGR,1240,7734,26486
0004ODN,757,4809,25851
0005AMB,757,4731,26761
0006BSS,757,5094,38264
0007COM,757,4731,29695
0008MUT,820,13780,66489
0010OTC,952,11539,59522
0011TUS,757,5184,41334
0013ALS,5982,33639,142003
0014KRA,7913,48623,209183
010044G,2811,16188,64005
0100AAA,447,2441,8223
0100AAE,1067,6299,22033
0100ACP,539,7701,36546
0100AEI,447,2799,10297
0100AEL,0,109,2641
0100AKA,0,0,737
0100AL2,0,0,0
0100AMY,295,1194,4392
0100ANJ,518,3239,12886
0100A.P,518,3239,13539
0100APC,0,0,0
0100ARG,1067,6672,23657
0100ARI,0,0,0
0100ASD,0,0,0
0100ASW,0,236,1936
0100AWA,0,0,0
0100BKH,484,3067,10449
0100BKK,0,0,0
0100BLD,0,0,0
0100CAR,0,0,0
0100CBR,31,545,3686
0100CCD,1067,6672,25303
0100CHE,447,2799,11197
0100CHL,0,0,0
0100CTC,0,0,0
0100CTR,1067,6520,22335
0100DPA,31,1392,6414
0100EIE,0,0,0
0100EIL,0,0,0
0100EIO,0,0,0
0100ESN,0,0,0
0100GAO,0,0,0
0100GUG,0,0,327
0100GVS,0,0,0
0100HYD,0,0,0
0100IKW,0,0,0
0100ILL,0,0,0
0100INT,1067,6653,23992
0100ITS,0,0,0
0100JAK,0,9,1636
0100JO.,0,0,0
0100JOA,0,0,0
0100JYL,0,0,5
0100KCK,0,0,0
0100KHR,2030,12024,45086
0100KMU,0,0,0
0100KNA,0,258,4387
0100KNE,0,7,3382
0100KSS,0,0,0
0100KTC,0,283,2781
0100KWH,447,2799,10698
0100LDL,0,0,0
0100LHH,1240,7512,26511
0100LIK,0,0,0
0100LMC,0,0,0
0100LPS,0,0,0
0100LSM,0,0,0
0100..M,518,3157,9724
0100MCO,1240,7653,26378
0100MCY,0,0,0
0100MFB,0,0,0
0100MIS,0,0,0
0100MOM,0,0,0
0100MOU,447,2799,11197
0100MRB,0,0,0
0100MRC,385,2146,8308
0100NAM,0,0,0
0100NCE,0,0,0
0100NDT,0,0,0
0100NJT,0,0,0
0100NKD,0,0,0
0100NMT,447,2799,11197
0100NRP,0,0,0
0100NSO,196,1802,7534
0100ONO,694,4226,16538
0100OOA,0,0,0
0100OTN,0,0,0
0100OTS,0,0,0
0100PEF,0,0,1539
0100PNA,1067,6672,25409
0100POA,0,0,0
0100POW,0,0,1499
0100PSA,2993,18707,61241
0100RBJ,83,834,4805
0100RCN,0,0,919
0100REE,0,0,0
0100RES,447,2799,11197
0100RGH,1240,7418,26515
0100RJI,0,0,0
0100RKH,447,2799,11197
0100RRD,0,88,1781
0100RRJ,447,2799,11197
0100RRP,447,2799,11197
0100RUD,447,2799,11197
0100RUI,617,3859,15469
0100RYA,0,0,0
0100SAR,0,0,867
0100SHT,0,0,0
0100SKU,0,0,0
0100SLG,0,0,766
0100SNW,447,2799,11197
0100S/R,447,2799,11197
0100STI,0,0,0
0100T1I,447,2799,11197
0100TCP,732,4376,16558
0100TIG,0,0,0
0100TOR,617,3907,16074
0100TPS,0,0,0
0100TTM,0,0,0
0100UBP,0,61,1627
0100UEA,48,1432,6476
0100UMA,0,38,2900
0100UMT,0,0,0
0100VDA,0,0,0
0100VEV,170,1075,3832
0100VIN,0,0,0
0100VLU,701,4189,16094
0100WSI,447,2799,9369
0100XAM,0,0,0
0101AGA,748,5347,24130
0101AKE,1067,6275,21986
0101AKH,804,4821,20624
0101AKN,296,1196,4396
0101ALM,1067,6672,25391
0101AME,0,0,0
0101ARA,4,748,5475
0101ARC,0,227,1910
0101ARR,1067,6645,23955
0101ARY,1067,6672,23575
0101BKH,492,3081,10230
0101BLU,0,0,0
0101CAV,178,1020,3794
0101CEF,447,2799,10654
0101CHC,0,0,0
0101CHF,0,0,2910
0101CPK,760,4603,17672
0101DGG,617,3860,15784
0101DPB,46,1513,6727
0101ETA,0,0,0
0101FRK,0,0,0
0101GOG,0,0,305
0101GRJ,0,0,0
0101GVS,0,0,0
0101HMO,0,0,835
0101HUS,0,0,2675
0101HWO,104,1110,6124
0101IAI,0,0,0
0101IGA,0,0,0
0101ION,0,0,0
0101IRR,0,503,4971
0101JAK,0,12,1672
0101JHS,1240,7748,26492
0101JLI,617,3859,15483
0101KAT,0,0,0
0101KCK,0,0,0
