stop_id,ward
0001RLW,Nairobi Central Ward
0002KOJ,Nairobi Central Ward
0003NGR,Ngara Ward Ward
0004ODN,Nairobi Central Ward
0005AMB,Nairobi Central Ward
0006BSS,Nairobi Central Ward
0007COM,Nairobi Central Ward
0008MUT,Nairobi Central Ward
0010OTC,Nairobi Central Ward
0011TUS,Nairobi Central Ward
0013ALS,Babandogo
0014KRA,Kariobangi North Ward
010044G,Kahawa
0100AAA,Karura Ward
0100AAE,Parklands/highridge Ward
0100ACP,Kahawa West
0100AEI,Karura Ward
0100AEL,Kahawa West
0100AKA,Karura Ward
0100AL2,Karura Ward
0100AMY,Karura Ward
0100ANJ,Kahawa West
0100A.P,Kahawa West
0100APC,Karura Ward
0100ARG,Parklands/highridge Ward
0100ARI,Karura Ward
0100ASD,Karura Ward
0100ASW,Karura Ward
0100AWA,Kahawa West
0100BKH,Karura Ward
0100BKK,Kitisuru Ward
0100BLD,Karura Ward
0100CAR,Kitisuru Ward
0100CBR,Karura Ward
0100CCD,Parklands/highridge Ward
0100CHE,Karura Ward
0100CHL,Karura Ward
0100CTC,Karura Ward
0100CTR,Parklands/highridge Ward
0100DPA,Karura Ward
0100EIE,Karura Ward
0100EIL,Karura Ward
0100EIO,Kitisuru Ward
0100ESN,Karura Ward
0100GAO,Karura Ward
0100GUG,Karura Ward
0100GVS,Kitisuru Ward
0100HYD,Karura Ward
0100IKW,Karura Ward
0100ILL,Karura Ward
0100INT,Parklands/highridge Ward
0100ITS,Karura Ward
0100JAK,Karura Ward
0100JO.,Kahawa West
0100JOA,Karura Ward
0100JYL,Karura Ward
0100KCK,Karura Ward
0100KHR,Kahawa
0100KMU,Karura Ward
0100KNA,Karura Ward
0100KNE,Karura Ward
0100KSS,Karura Ward
0100KTC,Karura Ward
0100KWH,Karura Ward
0100LDL,Kitisuru Ward
0100LHH,Ngara Ward Ward
0100LIK,Karura Ward
0100LMC,Kitisuru Ward
0100LPS,Kitisuru Ward
0100LSM,Karura Ward
0100..M,Kahawa West
0100MCO,Ngara Ward Ward
0100MCY,Karura Ward
0100MFB,Karura Ward
0100MIS,Karura Ward
0100MOM,Karura Ward
0100MOU,Karura Ward
0100MRB,Karura Ward
0100MRC,Karura Ward
0100NAM,Karura Ward
0100NCE,Karura Ward
0100NDT,Karura Ward
0100NJT,Karura Ward
0100NKD,Karura Ward
0100NMT,Karura Ward
0100NRP,Kahawa West
0100NSO,Karura Ward
0100ONO,Zimmerman Ward
0100OOA,Kahawa West
0100OTN,Kahawa West
0100OTS,Kitisuru Ward
0100PEF,Karura Ward
0100PNA,Parklands/highridge Ward
0100POA,Karura Ward
0100POW,Karura Ward
0100PSA,Kahawa
0100RBJ,Karura Ward
0100RCN,Karura Ward
0100REE,Karura Ward
0100RES,Karura Ward
0100RGH,Ngara Ward Ward
0100RJI,Kahawa West
0100RKH,Karura Ward
0100RRD,Karura Ward
0100RRJ,Karura Ward
0100RRP,Karura Ward
0100RUD,Karura Ward
0100RUI,Roysambu Ward
0100RYA,Karura Ward
0100SAR,Karura Ward
0100SHT,Karura Ward
0100SKU,Karura Ward
0100SLG,Karura Ward
0100SNW,Karura Ward
0100S/R,Karura Ward
0100STI,Karura Ward
0100T1I,Karura Ward
0100TCP,Karura Ward
0100TIG,Kitisuru Ward
0100TOR,Roysambu Ward
0100TPS,Kahawa West
0100TTM,Karura Ward
0100UBP,Karura Ward
0100UEA,Karura Ward
0100UMA,Karura Ward
0100UMT,Karura Ward
0100VDA,Karura Ward
0100VEV,Karura Ward
0100VIN,Karura Ward
0100VLU,Parklands/highridge Ward
0100WSI,Karura Ward
0100XAM,Karura Ward
0101AGA,Parklands/highridge Ward
0101AKE,Parklands/highridge Ward
0101AKH,Parklands/highridge Ward
0101AKN,Karura Ward
0101ALM,Parklands/highridge Ward
0101AME,Karura Ward
0101ARA,Karura Ward
0101ARC,Karura Ward
0101ARR,Parklands/highridge Ward
0101ARY,Parklands/highridge Ward
0101BKH,Roysambu Ward
0101BLU,Kitisuru Ward
0101CAV,Karura Ward
0101CEF,Karura Ward
0101CHC,Karura Ward
0101CHF,Karura Ward
0101CPK,Parklands/highridge Ward
0101DGG,Roysambu Ward
0101DPB,Karura Ward
0101ETA,Kitisuru Ward
0101FRK,Karura Ward
0101GOG,Karura Ward
0101GRJ,Karura Ward
0101GVS,Kitisuru Ward
0101HMO,Karura Ward
0101HUS,Karura Ward
0101HWO,Karura Ward
0101IAI,Karura Ward
0101IGA,Karura Ward
0101ION,Kitisuru Ward
0101IRR,Karura Ward
0101JAK,Karura Ward
0101JHS,Ngara Ward Ward
0101JLI,Roysambu Ward
0101KAT,Karura Ward
0101KCK,Karura Ward
0101KHR,Kahawa West
0101KKB,Karura Ward
0101KME,Karura Ward
0101KOB,Karura Ward
0101KTO,Karura Ward
0101LIK,Karura Ward
0101LMA,Karura Ward
0101LMC,Kitisuru Ward
0101LSC,Karura Ward
0101MCC,Karura Ward
0101MCY,Karura Ward
0101MDS,Karura Ward
0101MIC,Karura Ward
0101MIM,Karura Ward
0101M.K,Kahawa West
0101MKB,Karura Ward
0101MOM,Karura Ward
0101MRB,Karura Ward
0101MTH,Karura Ward
0101MUC,Karura Ward
0101NDJ,Karura Ward
0101N'G,Karura Ward
0101NGG,Karura Ward
0101NJK,Karura Ward
0101NRE,Parklands/highridge Ward
0101NRP,Kahawa West
0101NTO,Karura Ward
0101NYG,Karura Ward
0101NYP,Karura Ward
0101NYR,Karura Ward
0101OOO,Karura Ward
0101OTA,Karura Ward
0101PMR,Karura Ward
0101PMV,Karura Ward
0101POW,Karura Ward
0101RCC,Karura Ward
0101RCK,Karura Ward
0101RDC,Karura Ward
0101RED,Kitisuru Ward
0101REE,Karura Ward
0101REN,Karura Ward
0101RIE,Kitisuru Ward
0101RIH,Karura Ward
0101RJI,Kahawa West
0101RKJ,Karura Ward
0101RMY,Karura Ward
0101ROK,Karura Ward
0101ROR,Karura Ward
0101RSH,Karura Ward
0101RUA,Roysambu Ward
0101RUD,Karura Ward
0101SDA,Karura Ward
0101SHR,Karura Ward
0101SHT,Karura Ward
0101SLT,Karura Ward
0101STP,Ngara Ward Ward
0101TIG,Kitisuru Ward
0101VRY,Karura Ward
0101WBR,Parklands/highridge Ward
0101WIA,Karura Ward
0101WID,Roysambu Ward
0101YSA,Karura Ward
0101ZAK,Karura Ward
0102KHJ,Nairobi Central Ward
0103MSQ,Parklands/highridge Ward
0110AAN,Karura Ward
0110ACG,Karura Ward
0110AEA,Karura Ward
0110AGK,Parklands/highridge Ward
0110AIG,Karura Ward
0110AOA,Karura Ward
0110AOH,Kahawa West
0110APS,Parklands/highridge Ward
0110APT,Parklands/highridge Ward
0110ASP,Ngara Ward Ward
0110AST,Karura Ward
0110AUK,Karura Ward
0110BAA,Karura Ward
0110BDO,Karura Ward
0110BLV,Parklands/highridge Ward
0110BNI,Karura Ward
0110BUK,Kitisuru Ward
0110CEJ,Karura Ward
0110COH,Karura Ward
0110CUT,Karura Ward
0110DAS,Roysambu Ward
0110FRM,Karura Ward
0110FSA,Karura Ward
0110GAC,Karura Ward
0110GTH,Karura Ward
0110HHH,Ngara Ward Ward
0110HUN,Parklands/highridge Ward
0110IDR,Karura Ward
0110ILU,Kitisuru Ward
0110IRT,Ngara Ward Ward
0110ISR,Kahawa West
0110KAU,Karura Ward
0110KGQ,Parklands/highridge Ward
0110KKB,Karura Ward
0110KRS,Karura Ward
0110KSL,Parklands/highridge Ward
0110LAR,Karura Ward
0110LCM,Karura Ward
0110LHL,Kahawa West
0110LIG,Karura Ward
0110LJA,Karura Ward
0110MKT,Karura Ward
0110MTS,Karura Ward
0110MYA,Karura Ward
0110NGP,Karura Ward
0110NKT,Parklands/highridge Ward
