Sub-County,Ward,df2_ward,match_type,"Est. Median Household Expenditure (KSh/month, 2025 adj.)",Poverty Rate (%),Income Class,Notes/Key Proxy Source
Dagoretti North,Kangemi,Kangemi Ward,exact,20017,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Kawangware,Kawangware Ward,exact,90851,3,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Kitsuru,Kitisuru Ward,fuzzy,37546,13,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Mountain View,Mountain View Ward,exact,94524,7,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Uthiru,,unmatched,13625,43,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Jamhuri,,unmatched,56052,24,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Mukuru Kwa Njenga,,unmatched,10033,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Riruta,Riruta Ward,exact,35884,20,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Waithaka,Waithaka Ward,exact,50536,29,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Kayole South,Kayole South Ward,exact,9583,76,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Kwa Reuben,Kwa Reuben Ward,exact,23307,65,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Mihango,Mihango Ward,exact,13764,54,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Njiru,Njiru Ward,exact,50408,37,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Utawala,Utawala Ward,exact,23080,71,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Buruburu,,unmatched,18915,43,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Embakasi Village,,unmatched,10748,76,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kariobangi North,Kariobangi North Ward,exact,18309,40,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kariobangi South,Kariobangi South Ward,exact,28552,30,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kayole East,,unmatched,25177,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Umoja,Umoja I Ward,fuzzy,81949,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Dandora A,,unmatched,13798,45,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Dandora B,,unmatched,57364,36,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Kayole Central,Kayole Central Ward,exact,34028,30,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Komarock,Komarock Ward,exact,53603,27,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Matopeni,,unmatched,43538,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
