Sub-County,Ward,"Est. Median Household Expenditure (KSh/month, 2025 adj.)",Poverty Rate (%),Income Class,Notes/Key Proxy Source
Dagoretti North,Kangemi,20017,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Kawangware,90851,3,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Kitsuru,37546,13,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Mountain View,94524,7,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti North,Uthiru,13625,43,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Jamhuri,56052,24,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Mukuru Kwa Njenga,10033,69,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Riruta,35884,20,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Dagoretti South,Waithaka,50536,29,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Kayole South,9583,76,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Kwa Reuben,23307,65,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Mihango,13764,54,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Njiru,50408,37,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi Central,Utawala,23080,71,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Buruburu,18915,43,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Embakasi Village,10748,76,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kariobangi North,18309,40,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kariobangi South,28552,30,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Kayole East,25177,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi East,Umoja,81949,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Dandora A,13798,45,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Dandora B,57364,36,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Kayole Central,34028,30,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Komarock,53603,27,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi North,Matopeni,43538,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Embakasi,16706,49,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Imara Daima,47581,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Kwa Njenga,49183,22,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi South,Mukuru,57786,14,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Donholm,47819,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Kwa Njiraini,49926,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Makadara,73016,8,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Mariguini,47737,35,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Embakasi West,Umoja 2,19179,63,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Airbase,42404,19,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,California,34969,11,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Eastleigh North,84383,6,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Eastleigh South,8875,51,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kamukunji,Pumwani,96331,4,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Clay City,36130,13,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Githurai,32978,23,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Jordan,21906,74,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Kasarani Central,25243,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Mihango,15096,49,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kasarani,Ruiru,64795,5,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Gatwikira,36002,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Kibra,96303,4,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Laini Saba,39363,33,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Makina,33008,12,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Kibra,Sarangombe,35141,15,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Karen,20933,62,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Langata,51984,25,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,Nairobi West,43296,23,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,South B,26100,29,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Langata,South C,8432,44,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Akamba,9535,73,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Harambee,13453,47,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Maruba,26427,28,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Makadara,Mwiki,48715,10,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Huruma,9592,55,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Kiamaiko,34282,17,Middle,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mathare A,24541,56,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mathare B,23165,65,Low,KNBS 2024 / KIHBS 2021 (2025 adj.)
Mathare,Mlango Kubwa,91792,6,High,KNBS 2024 / KIHBS 2021 (2025 adj.)
