Date,Area,Rent,Food,Transport,Utilities,Misc,Total
2019-01-31,Westlands,90341,25454,15634,6142,13468,151039
2019-01-31,Westlands,93902,24808,17194,6803,13608,156315
2019-01-31,Kileleshwa,78160,23302,13104,6454,12959,133979
2019-01-31,Westlands,87721,29735,18420,7934,14908,158719
2019-01-31,Ngong,32881,13471,10989,3062,8450,68853
2019-01-31,Kasarani,17900,10521,6875,3575,5723,44594
2019-01-31,South B,39913,16445,11309,4533,8671,80870
2019-01-31,Kitengela,27688,12539,8475,3963,5792,58456
2019-01-31,Juja,16425,6820,5020,3147,1851,33264
2019-01-31,Githurai,8160,12239,4459,3292,4323,32473
2019-01-31,Westlands,92726,27747,13253,5546,10078,149350
2019-01-31,Donholm,38771,15054,9186,4237,4889,72137
2019-01-31,Rongai,32393,16863,7848,4091,9053,70248
2019-01-31,Mlolongo,21646,14036,6249,2110,3545,47586
2019-01-31,Ruiru,21890,9589,5817,4129,2581,44007
2019-01-31,Karen,152595,31518,15758,7608,18040,225519
2019-01-31,Thika,17971,13732,5172,4434,7046,48355
2019-01-31,Githurai,13624,12106,3186,2617,2628,34161
2019-01-31,Ruaka,44275,19000,11608,5561,7668,88112
2019-01-31,Karen,150764,29322,15953,8015,14417,218471
2019-01-31,Langata,55616,21988,10277,4598,7504,99982
2019-01-31,Karen,154235,29066,18911,8471,17561,228243
2019-01-31,Ruiru,20798,14190,7404,2889,6504,51785
2019-01-31,Mlolongo,20259,9285,3962,4198,2547,40251
2019-01-31,Githurai,12986,6874,7329,3007,4050,34246
2019-01-31,Karen,152683,29497,20464,8958,17765,229367
2019-01-31,South B,40770,14823,10232,5071,5414,76308
2019-01-31,Kitengela,26149,18054,6252,4273,3519,58247
2019-01-31,South B,41001,16784,9187,3329,5210,75509
2019-01-31,Donholm,38990,15573,8379,4067,8993,76002
2019-01-31,Kasarani,23882,10079,4774,3410,2364,44509
2019-01-31,South B,44848,19048,11587,4074,6214,85769
2019-01-31,Kitengela,22958,11826,8880,4341,6967,54973
2019-01-31,Githurai,9563,9458,9422,2810,3521,34774
2019-01-31,Githurai,14791,8383,6501,3355,6701,39731
2019-01-31,Kikuyu,21032,14093,4400,4623,2708,46857
2019-01-31,Umoja,28757,13064,5944,3443,7136,58343
2019-01-31,Embakasi,29823,16088,5045,3397,6710,61063
2019-01-31,Ruaka,46540,17699,12418,5772,9474,91903
2019-01-31,Thika,21761,13830,5219,3372,3134,47316
2019-01-31,Thika,21538,12154,7123,4358,5434,50608
2019-01-31,Langata,53820,18918,14804,4416,11496,103454
2019-01-31,South B,39937,15547,9767,4939,5603,75793
2019-01-31,Mlolongo,22819,9139,8417,4460,3703,48537
2019-01-31,Karen,153514,34568,21678,8444,15280,233484
2019-01-31,Juja,15522,10575,5496,3131,3652,38376
2019-01-31,Westlands,88376,22258,13918,6913,12435,143901
2019-01-31,Langata,59794,19834,12636,4442,9132,105837
2019-01-31,Kasarani,19812,12022,5792,2046,6751,46422
2019-01-31,Ruaka,49495,18567,11245,4819,6530,90656
2019-01-31,Langata,58586,18016,13863,4228,8793,103486
2019-01-31,Ngong,38239,19041,9090,3163,6745,76279
2019-01-31,Umoja,23918,14590,8920,4189,5929,57546
2019-01-31,Langata,55980,18692,12796,6370,10941,104779
2019-01-31,Embakasi,24221,17293,5586,2933,3576,53609
2019-01-31,Mlolongo,21738,14263,3837,3762,7764,51363
2019-01-31,South B,42420,18961,8455,4453,9657,83945
2019-01-31,Kitengela,25692,17472,8744,2591,5961,60460
2019-01-31,Ruiru,22573,14148,8897,3303,6392,55313
2019-01-31,Kitengela,22440,15848,9331,3652,5416,56687
2019-01-31,Mlolongo,20677,8339,5415,3288,4475,42194
2019-01-31,Ruaka,45515,19484,11518,3577,11768,91862
2019-01-31,Kikuyu,18950,13145,6125,4028,5282,47530
2019-01-31,Donholm,37795,18739,8910,5099,6232,76775
2019-01-31,Kitengela,28559,12683,7870,4778,3496,57386
2019-01-31,Westlands,88126,28436,12216,7275,12737,148790
2019-01-31,Kitengela,26777,11967,7335,3626,8839,58544
2019-01-31,Ruaka,49846,18426,12978,4052,8589,93891
2019-01-31,Kasarani,17614,10226,8015,4041,3581,43477
2019-01-31,Langata,56255,21886,11671,6340,12666,108817
2019-01-31,Embakasi,29221,11316,6623,4874,6370,58404
2019-01-31,Westlands,91937,22990,14734,7639,10999,148298
2019-01-31,Donholm,37778,15265,10837,3336,7962,75178
2019-01-31,Ruaka,47370,21345,11194,3677,9602,93188
2019-01-31,South B,41103,18597,7984,5271,5644,78597
2019-01-31,Westlands,91324,28584,14075,6169,13160,153312
2019-01-31,Westlands,93633,25090,12400,5683,13433,150239
2019-01-31,Kileleshwa,83710,24410,10442,4717,12541,135820
2019-01-31,Kasarani,23502,13173,5668,4431,5114,51888
2019-01-31,Ngong,35057,18762,6821,3487,5252,69380
2019-01-31,Umoja,24426,12724,4406,4042,3022,48620
2019-01-31,Githurai,11154,9430,8015,2652,5040,36291
2019-01-31,South B,43958,19856,11152,3040,9689,87694
2019-01-31,Githurai,8977,10806,5114,3301,3557,31754
2019-01-31,Ngong,37551,15837,9018,4791,7956,75153
2019-01-31,Juja,13734,9980,5403,2444,5691,37252
2019-01-31,Kikuyu,19067,14420,8796,4250,4770,51303
2019-01-31,Kasarani,23898,11579,7985,2378,3774,49614
2019-01-31,Donholm,33264,19657,8826,4242,8868,74857
2019-01-31,Mlolongo,15547,8323,6622,4422,3537,38451
2019-01-31,Mlolongo,22313,10435,6406,4490,5936,49579
2019-01-31,Thika,21550,14509,6728,2301,4504,49592
2019-01-31,Westlands,93219,24282,14796,5019,11457,148773
2019-01-31,Westlands,87816,24796,14650,7739,15219,150220
2019-01-31,Umoja,22325,15197,4217,3764,8718,54221
2019-01-31,Mlolongo,15361,11730,6153,2922,4068,40234
2019-01-31,Ruaka,48783,21380,9742,3495,6389,89789
