ward,num_variants,total_pop_served,final_score,equity_multiplier
Githurai Ward,6,276688,0.5878431497230826,1.972222222222222
Kangemi Ward,3,222366,0.55850042905295,1.5
Dandora Area Iii Ward,6,372190,0.5096421491356901,1.5277777777777777
Gatina Ward,21,862209,0.46638920705764686,1.5555555555555554
Kahawa West,3,19464,0.3803095161636863,2.0
Zimmerman Ward,6,135540,0.3799590793599716,1.8055555555555556
Matopeni/spring Valley Ward,3,55254,0.37196909400347566,1.6944444444444444
Imara Daima Ward,14,338397,0.3646068614368229,1.5
Mountain View Ward,12,317688,0.35670758963597415,1.5694444444444444
Airbase Ward,82,2524656,0.3383293803163436,1.9420731707317074
Waithaka Ward,3,41988,0.3358887466203921,1.9444444444444444
Uthiru/ruthimitu Ward,6,129985,0.32986162448718953,1.8055555555555556
Karen Ward,5,60733,0.3091863344263318,1.8833333333333333
Njiru Ward,3,60744,0.2934420481704178,1.8055555555555556
South C Ward,24,408601,0.28128165390964105,1.5
Mihango Ward,3,10584,0.27638202532381956,2.0
Roysambu Ward,6,99028,0.27594768237964107,1.5972222222222223
Upper Savanna Ward,3,80778,0.2731846647648995,1.5
Nairobi West Ward,21,348760,0.26809298214435906,1.5
Pipeline Ward,27,521520,0.267144298545466,1.515432098765432
Karura Ward,3,13866,0.23140429071435772,1.5833333333333333
Mutu-ini Ward,3,12480,0.12045405055703884,2.0
