ward,county,subcounty,population,ward_area_km2,coverage_area_km2,coverage_ratio,pop_served,pop_not_served,pct_access
Umoja I Ward,Nairobi,Embakasi West Sub County,62143.09174286492,1.4663081464386944,1.4663081464386936,0.9999999999999993,62143,0,100.0
Eastleigh North Ward,Nairobi,Kamukunji  Sub County,55218.35350780989,0.8776342639832856,0.8776342639832857,1.0,55218,0,100.0
Nairobi Central Ward,Nairobi,Starehe  Sub County,18997.26888177704,3.148288806765663,3.1482888067656667,1.0,18997,0,100.0
Ngara Ward Ward,Nairobi,Starehe  Sub County,25589.814342148355,2.588189589550867,2.588189589550868,1.0,25590,0,100.0
Kayole North Ward,Nairobi,Embakasi Central Sub County,67394.96560338311,0.7668911872405768,0.7668911872405769,1.0,67395,0,100.0
Kariobangi North Ward,Nairobi,Embakasi North Sub County,64689.6208079953,1.0994809375265566,1.099480937526555,0.9999999999999986,64690,0,100.0
Umoja Ii Ward,Nairobi,Embakasi West Sub County,61300.6889507025,1.6582970175936824,1.6582970175936835,1.0,61301,0,100.0
California Ward,Nairobi,Kamukunji  Sub County,46558.61648863144,0.47934897234949386,0.47934897234949414,1.0,46559,0,100.0
Kariobangi South Ward,Nairobi,Embakasi West Sub County,80891.31265297219,1.4067499697551655,1.4067499697551673,1.0,80891,0,100.0
Kabiro Ward,Nairobi,Dagoretti North Sub County,97457.14767856504,1.140311016578603,1.1403110165786028,0.9999999999999998,97457,0,100.0
Kayole South Ward,Nairobi,Embakasi Central Sub County,8232.274747688632,0.7811652658827232,0.7811652658827241,1.0,8232,0,100.0
Harambee Ward,Nairobi,Makadara  Sub County,153059.43940013353,4.08185275766351,4.080792116535631,0.9997401569358699,153020,40,99.97
Kiamaiko Ward,Nairobi,Mathare  Sub County,74514.22048206965,0.6681848890840705,0.667946540339338,0.9996432892323274,74488,27,99.96
Mabatini Ward,Nairobi,Mathare  Sub County,48278.47636746039,0.3541883257071471,0.3536786600603279,0.9985610320560352,48209,69,99.86
Maringo/hamza Ward,Nairobi,Makadara  Sub County,80030.89420952093,2.837841554056196,2.8331793924591877,0.998357145207651,79899,131,99.84
Komarock Ward,Nairobi,Embakasi Central Sub County,161563.78729708068,3.07594074059069,3.0356757909574115,0.986909712172951,159449,2115,98.69
Pumwani Ward,Nairobi,Kamukunji  Sub County,54693.254146881605,1.3280167252063697,1.3034167745799827,0.9814761740876687,53680,1013,98.15
Parklands/highridge Ward,Nairobi,Westlands  Sub County,69612.8432531061,8.180886124925962,8.019153431131715,0.980230418646035,68237,1376,98.02
Kileleshwa Ward,Nairobi,Dagoretti North Sub County,81906.40840691517,9.039388611965332,8.7422260868391,0.9671258159282055,79214,2693,96.71
Babandogo,Nairobi,Ruaraka  Sub County,144280.94162179087,2.3135016067627636,2.2039017876666733,0.9526260026032785,137446,6835,95.26
Utalii Ward,Nairobi,Ruaraka  Sub County,132109.99334113684,1.904341879853725,1.7982128763586551,0.9442699839677833,124748,7362,94.43
Riruta Ward,Nairobi,Dagoretti South Sub County,78393.51304547221,4.156310764765843,3.854227785169727,0.9273194434456262,72696,5698,92.73
Viwandani Ward,Nairobi,Makadara  Sub County,94974.05629043338,5.7103027802866135,5.273200654966726,0.923453774320186,87704,7270,92.35
Dandora Area Ii Ward,Nairobi,Embakasi North Sub County,69503.36318566964,1.3841490348797563,1.2724427616521299,0.9192960653710744,63894,5609,91.93
Makina Ward,Nairobi,Kibra  Sub County,61838.3383815226,0.8057673004171886,0.7233826949251647,0.8977563305815848,55516,6323,89.78
Landimawe Ward,Nairobi,Starehe  Sub County,51643.83141519055,5.5549171665591155,4.979202558258541,0.8963594611695732,46291,5352,89.64
Pangani Ward,Nairobi,Starehe  Sub County,29921.21680161153,1.6842537215635915,1.4986575050031898,0.8898050726062212,26624,3297,88.98
Nairobi South Ward,Nairobi,Starehe  Sub County,56437.63657436855,5.933538499103828,5.271113338449581,0.8883591703745923,50137,6301,88.84
Huruma Ward,Nairobi,Mathare  Sub County,28738.04822491217,0.2666812324320985,0.2360250347177778,0.8850455375703039,25434,3304,88.5
Lower Savanna Ward,Nairobi,Embakasi East Sub County,54574.55002586656,3.4646990352574742,3.0655569013631623,0.8847974586442975,48287,6287,88.48
Mathare North Ward,Nairobi,Ruaraka  Sub County,74177.99282923673,0.4635464767944241,0.40962171359584315,0.883669133737164,65549,8629,88.37
Woodley/kenyatta Golf Course Ward,Nairobi,Kibra  Sub County,185176.16797733476,9.519007080099295,8.16230472288817,0.8574743830112822,158784,26392,85.75
