ward,population,pop_density,Off-Peak,Peak,peak_to_offpeak_ratio,ratio_diff
Airbase Ward,105433.25515722662,20954.15776745432,3.2333333333333334,3.2333333333333334,1.0,0.0
Babandogo,144280.94162179087,62364.74666800872,1.2727272727272727,1.2727272727272727,1.0,0.0
California Ward,46558.61648863144,97128.85428840664,1.0,1.0,1.0,0.0
Clay City,59710.23367322085,10831.808196493766,1.7941176470588236,1.7941176470588236,1.0,0.0
Dandora Area I Ward,0.0,0.0,1.75,1.75,1.0,0.0
Dandora Area Ii Ward,69503.36318566964,50213.78582379862,2.0833333333333335,2.0833333333333335,1.0,0.0
Dandora Area Iii Ward,73507.78889000125,59067.51458716933,1.5294117647058822,1.5294117647058822,1.0,0.0
Eastleigh North Ward,55218.35350780989,62917.27177696143,1.368421052631579,1.368421052631579,1.0,0.0
Eastleigh South Ward,68143.70069639628,65612.88853362306,1.3333333333333333,1.3333333333333333,1.0,0.0
Embakasi Ward,127185.79787032236,3009.046034046713,1.4883720930232558,1.4883720930232558,1.0,0.0
Gatina Ward,45919.74288559071,30449.02406367729,1.1111111111111112,1.1111111111111112,1.0,0.0
Githurai Ward,52515.02408656415,33844.9060153539,2.0,2.0,1.0,0.0
Harambee Ward,153059.43940013353,37497.54057462527,1.5596330275229358,1.5596330275229358,1.0,0.0
Hospital Ward,39231.09369567416,48020.471958152855,12.0,12.0,1.0,0.0
Imara Daima Ward,92557.21147751193,23645.36251728801,1.5714285714285714,1.5714285714285714,1.0,0.0
Kabiro Ward,97457.14767856504,85465.40922754227,1.7,1.7,1.0,0.0
Kahawa,66325.31993700916,23857.23588414281,1.0,1.0,1.0,0.0
Kahawa West,57375.0964702776,4131.649031387003,1.4444444444444444,1.4444444444444444,1.0,0.0
Kangemi Ward,0.0,0.0,2.0,2.0,1.0,0.0
Karen Ward,90123.85907777146,1262.357353695504,1.1746987951807228,1.1746987951807228,1.0,0.0
Kariobangi North Ward,64689.6208079953,58836.50966566467,1.5833333333333333,1.5833333333333333,1.0,0.0
Kariobangi South Ward,80891.31265297219,57502.26720605562,1.872340425531915,1.872340425531915,1.0,0.0
Karura Ward,136158.56870400644,3569.885252142344,1.9838709677419355,1.9838709677419355,1.0,0.0
Kasarani Ward,163944.92175693653,26624.99330685465,2.0408163265306123,2.0408163265306123,1.0,0.0
Kawangware Ward,0.0,0.0,1.9230769230769231,1.9230769230769231,1.0,0.0
Kayole Central Ward,0.0,0.0,2.515151515151515,2.515151515151515,1.0,0.0
Kayole North Ward,67394.96560338311,87880.74074222089,1.6842105263157894,1.6842105263157894,1.0,0.0
Kayole South Ward,8232.274747688632,10538.454674358944,2.4444444444444446,2.4444444444444446,1.0,0.0
Kiamaiko Ward,74514.22048206965,111517.36846999294,1.5,1.5,1.0,0.0
Kileleshwa Ward,81906.40840691517,9061.056219941316,1.8296296296296297,1.8296296296296297,1.0,0.0
Kilimani Ward,142658.5972963719,8882.417363879811,2.3656716417910446,2.3656716417910446,1.0,0.0
Kitisuru Ward,154593.60933689412,7256.193965467855,1.5333333333333334,1.5333333333333334,1.0,0.0
Komarock Ward,161563.78729708068,52524.999966694646,1.5578947368421052,1.5578947368421052,1.0,0.0
Korogocho Ward,0.0,0.0,2.3333333333333335,2.3333333333333335,1.0,0.0
Kwa Njenga Ward,50138.37407016672,131976.31597385733,6.0,6.0,1.0,0.0
Landimawe Ward,51643.83141519055,9296.957968354423,1.5185185185185186,1.5185185185185186,1.0,0.0
Lower Savanna Ward,54574.55002586656,15751.599048143857,2.119047619047619,2.119047619047619,1.0,0.0
Lucky Summer Ward,0.0,0.0,1.0588235294117647,1.0588235294117647,1.0,0.0
Mabatini Ward,48278.47636746039,136307.36211045645,6.75,6.75,1.0,0.0
Makina Ward,61838.3383815226,76744.66108205881,1.5454545454545454,1.5454545454545454,1.0,0.0
Makongeni Ward,27239.29778072184,15604.570969622566,4.607142857142857,4.607142857142857,1.0,0.0
Maringo/hamza Ward,80030.89420952093,28201.32579112136,2.235294117647059,2.235294117647059,1.0,0.0
Mathare North Ward,74177.99282923673,160022.77342760077,1.0,1.0,1.0,0.0
Matopeni/spring Valley Ward,15205.42326080414,14812.232754080293,2.5,2.5,1.0,0.0
Mihango Ward,22000.26396561969,1474.2827719886052,1.8529411764705883,1.8529411764705883,1.0,0.0
Mlango Kubwa,0.0,0.0,2.727272727272727,2.727272727272727,1.0,0.0
Mountain View Ward,53352.875177465976,17343.369123057502,1.4444444444444444,1.4444444444444444,1.0,0.0
Mowlem Ward,62819.89166655838,18397.90764105624,1.9473684210526316,1.9473684210526316,1.0,0.0
Mugumo-ini Ward,121245.03465058042,959.1095777737642,1.4851485148514851,1.4851485148514851,1.0,0.0
Mutu-ini Ward,13290.8561008233,2649.528342294766,1.1,1.1,1.0,0.0
Mwiki Ward,56716.87356452877,3018.955508302188,1.6,1.6,1.0,0.0
Nairobi Central Ward,18997.26888177704,6034.156981072372,4.950819672131147,4.950819672131147,1.0,0.0
Nairobi South Ward,56437.63657436855,9511.632322414796,1.5225225225225225,1.5225225225225225,1.0,0.0
Nairobi West Ward,76676.38743229359,11102.57869293219,1.6111111111111112,1.6111111111111112,1.0,0.0
Ngando Ward,28020.643468093764,8860.662791438068,1.5185185185185186,1.5185185185185186,1.0,0.0
Ngara Ward Ward,25589.814342148355,9887.148316128185,2.4927536231884058,2.4927536231884058,1.0,0.0
Ngei Ward,0.0,0.0,7.0,7.0,1.0,0.0
Njiru Ward,69402.06821576251,8639.840618120339,1.9090909090909092,1.9090909090909092,1.0,0.0
Nyayo Highrise Ward,23400.367568367998,59948.74158192935,1.6666666666666667,1.6666666666666667,1.0,0.0
Pangani Ward,29921.21680161153,17765.26684698901,2.772727272727273,2.772727272727273,1.0,0.0
Parklands/highridge Ward,69612.8432531061,8509.205749852203,1.7481481481481482,1.7481481481481482,1.0,0.0
Pipeline Ward,40062.52343641133,6348.893027626112,2.5555555555555554,2.5555555555555554,1.0,0.0
Pumwani Ward,54693.254146881605,41184.16064254194,5.5,5.5,1.0,0.0
Riruta Ward,78393.51304547221,18861.321369430545,1.6326530612244898,1.6326530612244898,1.0,0.0
Roysambu Ward,110098.7167953836,4922.242601571833,2.3846153846153846,2.3846153846153846,1.0,0.0
Ruai Ward,57829.6892264539,575.5443079366237,1.4339622641509433,1.4339622641509433,1.0,0.0
Sarang'ombe Ward,77355.9452208662,74658.05866043626,1.7142857142857142,1.7142857142857142,1.0,0.0
South C Ward,70344.6251026133,4658.936030324827,1.456896551724138,1.456896551724138,1.0,0.0
Umoja I Ward,62143.09174286492,42380.64958842066,1.9215686274509804,1.9215686274509804,1.0,0.0
Umoja Ii Ward,61300.6889507025,36966.049085497696,1.2962962962962963,1.2962962962962963,1.0,0.0
Upper Savanna Ward,22624.401325207877,17141.895501255924,1.8333333333333333,1.8333333333333333,1.0,0.0
Utalii Ward,132109.99334113684,69373.04416751281,2.2413793103448274,2.2413793103448274,1.0,0.0
Utawala Ward,26083.793400018483,9435.844222573607,1.7419354838709677,1.7419354838709677,1.0,0.0
Uthiru/ruthimitu Ward,54875.67677571843,6948.316311045087,1.4166666666666667,1.4166666666666667,1.0,0.0
Viwandani Ward,94974.05629043338,16632.052615197124,1.8666666666666667,1.8666666666666667,1.0,0.0
Waithaka Ward,33981.409843591384,6830.345169916704,1.5454545454545454,1.5454545454545454,1.0,0.0
Woodley/kenyatta Golf Course Ward,185176.16797733476,19453.307095912267,1.7802197802197801,1.7802197802197801,1.0,0.0
Zimmerman Ward,41029.54800371309,5755.162844321694,1.875,1.875,1.0,0.0
Ziwani/kariokor,0.0,0.0,1.7857142857142858,1.7857142857142858,1.0,0.0
